received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:38:22,A83F2B,,,,,,509.0,84.14,0.0,GS,1574872702
2019-11-27 16:38:49,A83F2B,,,,,,508.0,84.13,128.0,GS,1574872729
2019-11-27 16:38:50,A83F2B,,,,,,508.0,84.13,-64.0,GS,1574872730
2019-11-27 16:39:57,A83F2B,,,,,,509.0,84.26,0.0,GS,1574872797
2019-11-27 16:40:01,A83F2B,,41.87337,-87.95955,41000.0,,,,,,1574872801
2019-11-27 16:40:06,A83F2B,,41.87457,-87.94355999999999,41000.0,,,,,,1574872806
2019-11-27 16:40:10,A83F2B,,,,,,509.0,84.37,0.0,GS,1574872810
2019-11-27 16:40:10,A83F2B,,41.87551,-87.93074,41000.0,,,,,,1574872810
2019-11-27 16:40:10,A83F2B,,,,,,509.0,84.37,0.0,GS,1574872810
2019-11-27 16:40:18,A83F2B,,,,,,509.0,84.37,0.0,GS,1574872818
2019-11-27 16:40:20,A83F2B,,,,,,508.0,84.36,0.0,GS,1574872820
2019-11-27 16:40:21,A83F2B,,41.87814,-87.89531,41000.0,,,,,,1574872821
2019-11-27 16:40:26,A83F2B,,41.87918,-87.88110999999999,41000.0,,,,,,1574872826
2019-11-27 16:40:32,A83F2B,,,,,,508.0,84.36,0.0,GS,1574872832
2019-11-27 16:40:36,A83F2B,,41.88142,-87.85058000000001,41000.0,,,,,,1574872836
2019-11-27 16:40:41,A83F2B,,,,,,508.0,84.36,0.0,GS,1574872841
2019-11-27 16:40:44,A83F2B,,41.88332,-87.82514,41000.0,,,,,,1574872844
2019-11-27 16:41:29,A83F2B,,41.89366,-87.68263,41000.0,,,,,,1574872889
2019-11-27 16:41:37,A83F2B,,,,,,507.0,84.57,0.0,GS,1574872897
