received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:20:24,A98F2D,,41.38564,-86.28200000000001,34025.0,,,,,,1574871624
2019-11-27 16:20:41,A98F2D,,41.387409999999996,-86.31862,34000.0,,,,,,1574871641
2019-11-27 16:20:44,A98F2D,,41.38769,-86.32469,34000.0,,,,,,1574871644
2019-11-27 16:20:47,A98F2D,,,,,,346.0,273.64,0.0,GS,1574871647
2019-11-27 16:20:52,A98F2D,,41.38852,-86.34181,34000.0,,,,,,1574871652
2019-11-27 16:22:29,A98F2D,,41.39825,-86.54748000000001,34000.0,,,,,,1574871749
2019-11-27 16:22:32,A98F2D,,,,,,344.0,273.66,-64.0,GS,1574871752
2019-11-27 16:22:44,A98F2D,,41.399879999999996,-86.58063,34000.0,,,,,,1574871764
2019-11-27 16:22:46,A98F2D,,,,,,344.0,273.66,-128.0,GS,1574871766
2019-11-27 16:22:47,A98F2D,,,,,,344.0,273.66,-64.0,GS,1574871767
2019-11-27 16:23:22,A98F2D,,41.40351,-86.66003,33975.0,,,,,,1574871802
2019-11-27 16:23:24,A98F2D,,,,,,344.0,273.33,0.0,GS,1574871804
2019-11-27 16:23:43,A98F2D,,,,,,345.0,273.32,0.0,GS,1574871823
2019-11-27 16:23:43,A98F2D,,41.40546,-86.70373000000001,33975.0,,,,,,1574871823
2019-11-27 16:23:53,A98F2D,,,,,,,,,,1574871833
2019-11-27 16:23:55,A98F2D,FFT171,,,,,346.0,273.14,0.0,GS,1574871835
2019-11-27 16:23:56,A98F2D,FFT171,,,,,346.0,273.14,0.0,GS,1574871836
2019-11-27 16:24:08,A98F2D,FFT171,41.40775,-86.75666,33975.0,,,,,,1574871848
2019-11-27 16:24:44,A98F2D,FFT171,41.41115,-86.83516999999999,34000.0,,,,,,1574871884
2019-11-27 16:24:50,A98F2D,FFT171,,,,,350.0,273.11,0.0,GS,1574871890
2019-11-27 16:24:57,A98F2D,FFT171,,,,,350.0,273.11,0.0,GS,1574871897
2019-11-27 16:24:58,A98F2D,FFT171,41.412409999999994,-86.86545,34000.0,,,,,,1574871898
2019-11-27 16:25:05,A98F2D,FFT171,,,,,350.0,273.11,0.0,GS,1574871905
2019-11-27 16:25:05,A98F2D,FFT171,41.41301,-86.88027,34000.0,,,,,,1574871905
2019-11-27 16:25:06,A98F2D,FFT171,41.4131,-86.88238,34000.0,,,,,,1574871906
2019-11-27 16:25:09,A98F2D,FFT171,,,,,351.0,273.1,0.0,GS,1574871909
2019-11-27 16:25:09,A98F2D,FFT171,41.413340000000005,-86.8887,34000.0,,,,,,1574871909
2019-11-27 16:25:12,A98F2D,FFT171,41.41362,-86.89520999999999,34000.0,,,,,,1574871912
2019-11-27 16:25:32,A98F2D,FFT171,,,,,352.0,273.41,0.0,GS,1574871932
2019-11-27 16:25:48,A98F2D,FFT171,41.41706,-86.97339000000001,34025.0,,,,,,1574871948
2019-11-27 16:26:11,A98F2D,FFT171,,,,,355.0,273.22,0.0,GS,1574871971
2019-11-27 16:26:32,A98F2D,FFT171,41.42107,-87.06752,34025.0,,,,,,1574871992
2019-11-27 16:26:34,A98F2D,FFT171,41.42125,-87.07258,34025.0,,,,,,1574871994
2019-11-27 16:26:56,A98F2D,FFT171,,,,,358.0,273.04,0.0,GS,1574872016
2019-11-27 16:26:59,A98F2D,FFT171,,,,,359.0,273.03,64.0,GS,1574872019
2019-11-27 16:27:03,A98F2D,FFT171,,,,,359.0,273.03,64.0,GS,1574872023
2019-11-27 16:27:03,A98F2D,FFT171,41.4239,-87.13704,34025.0,,,,,,1574872023
2019-11-27 16:27:09,A98F2D,FFT171,,,,,359.0,272.87,0.0,GS,1574872029
2019-11-27 16:27:16,A98F2D,FFT171,41.425,-87.16565,34025.0,,,,,,1574872036
2019-11-27 16:27:17,A98F2D,FFT171,41.42507,-87.1677,34025.0,,,,,,1574872037
2019-11-27 16:27:18,A98F2D,FFT171,,,,,359.0,272.87,0.0,GS,1574872038
2019-11-27 16:27:21,A98F2D,FFT171,41.42544,-87.17683000000001,34025.0,,,,,,1574872041
2019-11-27 16:27:24,A98F2D,FFT171,41.42569,-87.18338,34025.0,,,,,,1574872044
2019-11-27 16:27:26,A98F2D,FFT171,,,,,360.0,273.02,0.0,GS,1574872046
2019-11-27 16:27:26,A98F2D,FFT171,41.42587,-87.18794,34050.0,,,,,,1574872046
2019-11-27 16:27:27,A98F2D,FFT171,41.42595,-87.19012,34050.0,,,,,,1574872047
2019-11-27 16:27:27,A98F2D,FFT171,,,,,360.0,273.02,0.0,GS,1574872047
2019-11-27 16:27:28,A98F2D,FFT171,41.42601,-87.19224,34050.0,,,,,,1574872048
2019-11-27 16:27:29,A98F2D,FFT171,,,,,360.0,273.02,0.0,GS,1574872049
2019-11-27 16:27:30,A98F2D,FFT171,41.42618,-87.19657,34050.0,,,,,,1574872050
2019-11-27 16:27:31,A98F2D,FFT171,41.42628,-87.199,34050.0,,,,,,1574872051
2019-11-27 16:27:34,A98F2D,FFT171,,,,,360.0,273.02,0.0,GS,1574872054
2019-11-27 16:27:38,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872058
2019-11-27 16:27:44,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872064
2019-11-27 16:27:44,A98F2D,FFT171,41.42749,-87.2278,34050.0,,,,,,1574872064
2019-11-27 16:27:45,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872065
2019-11-27 16:27:45,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872065
2019-11-27 16:27:46,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872066
2019-11-27 16:27:47,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872067
2019-11-27 16:27:48,A98F2D,FFT171,41.42784,-87.23656,34050.0,,,,,,1574872068
2019-11-27 16:27:50,A98F2D,FFT171,41.428020000000004,-87.24093,34050.0,,,,,,1574872070
2019-11-27 16:27:54,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872074
2019-11-27 16:27:54,A98F2D,FFT171,41.42839,-87.25010999999999,34050.0,,,,,,1574872074
2019-11-27 16:27:56,A98F2D,FFT171,41.42856,-87.25463,34050.0,,,,,,1574872076
2019-11-27 16:27:56,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872076
2019-11-27 16:27:59,A98F2D,FFT171,41.42885,-87.26122,34050.0,,,,,,1574872079
2019-11-27 16:28:03,A98F2D,FFT171,,,,,,,,,1574872083
2019-11-27 16:28:04,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872084
2019-11-27 16:28:05,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872085
2019-11-27 16:28:05,A98F2D,FFT171,41.4294,-87.27427,34050.0,,,,,,1574872085
2019-11-27 16:28:07,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872087
2019-11-27 16:28:07,A98F2D,FFT171,,,,,360.0,273.18,0.0,GS,1574872087
2019-11-27 16:28:12,A98F2D,FFT171,41.43,-87.28963,34050.0,,,,,,1574872092
2019-11-27 16:28:13,A98F2D,FFT171,,,,,,,,,1574872093
2019-11-27 16:28:13,A98F2D,FFT171,,,,,361.0,273.01,0.0,GS,1574872093
2019-11-27 16:28:13,A98F2D,FFT171,41.430040000000005,-87.29081,34050.0,,,,,,1574872093
2019-11-27 16:28:13,A98F2D,FFT171,41.43008,-87.29199,34025.0,,,,,,1574872093
2019-11-27 16:28:13,A98F2D,FFT171,,,,,361.0,273.01,0.0,GS,1574872093
2019-11-27 16:28:14,A98F2D,FFT171,,,,,361.0,273.01,0.0,GS,1574872094
2019-11-27 16:28:15,A98F2D,FFT171,41.43023,-87.29551,34050.0,,,,,,1574872095
2019-11-27 16:28:16,A98F2D,FFT171,41.43031,-87.29760999999999,34050.0,,,,,,1574872096
2019-11-27 16:28:17,A98F2D,FFT171,41.43045,-87.30117,34050.0,,,,,,1574872097
2019-11-27 16:28:20,A98F2D,FFT171,41.43073,-87.30723,34050.0,,,,,,1574872100
2019-11-27 16:28:22,A98F2D,FFT171,41.43084,-87.31065,34025.0,,,,,,1574872102
2019-11-27 16:28:22,A98F2D,FFT171,,,,,361.0,273.01,-64.0,GS,1574872102
2019-11-27 16:28:23,A98F2D,FFT171,41.43093,-87.31263,34025.0,,,,,,1574872103
2019-11-27 16:28:23,A98F2D,FFT171,,,,,361.0,273.01,-64.0,GS,1574872103
2019-11-27 16:28:23,A98F2D,FFT171,,,,,361.0,273.01,-64.0,GS,1574872103
2019-11-27 16:28:24,A98F2D,FFT171,,,,,361.0,273.01,-64.0,GS,1574872104
