received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:26:03,AA733B,,41.829190000000004,-87.5236,3400.0,,,,,,1574871963
2019-11-27 16:26:20,AA733B,,,,,,164.0,314.51,320.0,GS,1574871980
2019-11-27 16:27:19,AA733B,,41.84799,-87.58109,3175.0,,,,,,1574872039
2019-11-27 16:27:24,AA733B,,,,,,120.0,267.14,128.0,GS,1574872044
2019-11-27 16:27:26,AA733B,,,,,,121.0,266.69,0.0,GS,1574872046
2019-11-27 16:28:02,AA733B,,,,,,127.0,268.2,-320.0,GS,1574872082
2019-11-27 16:28:06,AA733B,,41.84683,-87.61744,2975.0,,,,,,1574872086
2019-11-27 16:28:06,AA733B,,41.84683,-87.6179,2975.0,,,,,,1574872086
2019-11-27 16:28:10,AA733B,,41.846740000000004,-87.6209,2950.0,,,,,,1574872090
2019-11-27 16:28:11,AA733B,,41.846740000000004,-87.62177,2950.0,,,,,,1574872091
2019-11-27 16:28:12,AA733B,,,,,,124.0,268.61,-320.0,GS,1574872092
2019-11-27 16:28:12,AA733B,,41.846740000000004,-87.62258,2950.0,,,,,,1574872092
2019-11-27 16:28:14,AA733B,,,,,,124.0,268.61,-256.0,GS,1574872094
2019-11-27 16:28:17,AA733B,,,,,,126.0,268.64,-64.0,GS,1574872097
2019-11-27 16:28:23,AA733B,,41.8466,-87.6307,2925.0,,,,,,1574872103
2019-11-27 16:28:50,AA733B,,,,,,134.0,246.86,-640.0,GS,1574872130
2019-11-27 16:28:52,AA733B,,,,,,135.0,245.52,-576.0,GS,1574872132
2019-11-27 16:28:54,AA733B,,,,,,,,,,1574872134
2019-11-27 16:29:00,AA733B,SWA2346,,,,,136.0,248.9,-704.0,GS,1574872140
2019-11-27 16:29:24,AA733B,SWA2346,41.83552,-87.67805,2350.0,,,,,,1574872164
2019-11-27 16:30:05,AA733B,SWA2346,,,,,120.0,225.67,-704.0,GS,1574872205
2019-11-27 17:33:30,AA733B,SWA2346,41.757709999999996,-87.76491,3150.0,,,,,,1574876010
2019-11-27 17:33:38,AA733B,SWA2346,,,,,206.0,163.14,576.0,GS,1574876018
2019-11-27 17:33:39,AA733B,SWA2346,41.74937,-87.76165999999999,3275.0,,,,,,1574876019
2019-11-27 17:33:53,AA733B,SWA2346,41.7358,-87.75623,3400.0,,,,,,1574876033
2019-11-27 17:34:03,AA733B,SWA2346,,,,,227.0,163.64,2560.0,GS,1574876043
2019-11-27 17:34:30,AA733B,SWA2346,41.696909999999995,-87.74162,4925.0,,,,,,1574876070
2019-11-27 17:34:33,AA733B,SWA2346,41.69316,-87.74031,5000.0,,,,,,1574876073
2019-11-27 17:34:38,AA733B,SWA2346,41.68748,-87.73831,5125.0,,,,,,1574876078
2019-11-27 17:34:47,AA733B,SWA2346,,,,,281.0,165.62,3072.0,GS,1574876087
2019-11-27 17:34:49,AA733B,SWA2346,,,,,282.0,165.87,2944.0,GS,1574876089
2019-11-27 17:35:25,AA733B,SWA2346,41.625690000000006,-87.71928,7450.0,,,,,,1574876125
2019-11-27 17:35:54,AA733B,SWA2346,41.58975,-87.72171,8650.0,,,,,,1574876154
2019-11-27 17:36:04,AA733B,SWA2346,,,,,242.0,222.32,3648.0,GS,1574876164
2019-11-27 17:36:25,AA733B,SWA2346,,,,,236.0,234.83,3136.0,GS,1574876185
2019-11-27 17:36:38,AA733B,SWA2346,,,,,241.0,232.56,3392.0,GS,1574876198
2019-11-27 17:37:04,AA733B,SWA2346,41.53839,-87.80348000000001,11900.0,,,,,,1574876224
2019-11-27 17:37:05,AA733B,SWA2346,,,,,280.0,231.95,896.0,GS,1574876225
2019-11-27 17:37:09,AA733B,SWA2346,41.53419,-87.81071999999999,11975.0,,,,,,1574876229
