received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:29:40,AAE9A3,,42.469440000000006,-89.06011,35000.0,,,,,,1574872180
2019-11-27 16:30:39,AAE9A3,,,,,,532.0,87.63,0.0,GS,1574872239
2019-11-27 16:30:45,AAE9A3,,42.47639,-88.84438,35000.0,,,,,,1574872245
2019-11-27 16:30:52,AAE9A3,,42.47708,-88.82146999999999,35000.0,,,,,,1574872252
2019-11-27 16:30:58,AAE9A3,,42.47772,-88.80056,35000.0,,,,,,1574872258
2019-11-27 16:31:01,AAE9A3,,,,,,532.0,87.63,0.0,GS,1574872261
2019-11-27 16:31:01,AAE9A3,,,,,,532.0,87.63,0.0,GS,1574872261
2019-11-27 16:31:05,AAE9A3,,,,,,532.0,87.63,0.0,GS,1574872265
2019-11-27 16:31:29,AAE9A3,,42.48097,-88.69569,35000.0,,,,,,1574872289
2019-11-27 16:31:32,AAE9A3,,,,,,531.0,87.63,64.0,GS,1574872292
2019-11-27 16:32:11,AAE9A3,,,,,,531.0,87.74,0.0,GS,1574872331
2019-11-27 16:32:33,AAE9A3,,42.4872,-88.48478,35000.0,,,,,,1574872353
2019-11-27 16:32:46,AAE9A3,,42.48834,-88.44312,35000.0,,,,,,1574872366
2019-11-27 16:39:43,AAE9A3,,,,,,535.0,91.18,0.0,GS,1574872783
2019-11-27 16:39:45,AAE9A3,,,,,,535.0,91.18,0.0,GS,1574872785
