received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:45:44,AB0DA6,,,,,,328.0,133.89,0.0,GS,1574873144
2019-11-27 16:46:02,AB0DA6,,,,,,331.0,133.78,0.0,GS,1574873162
2019-11-27 16:47:58,AB0DA6,,40.947559999999996,-88.65771,19000.0,,,,,,1574873278
2019-11-27 16:49:12,AB0DA6,,40.86855,-88.55048000000001,19000.0,,,,,,1574873352
2019-11-27 16:49:37,AB0DA6,,40.84107,-88.5131,19000.0,,,,,,1574873377
2019-11-27 16:51:06,AB0DA6,,,,,,331.0,134.39,64.0,GS,1574873466
2019-11-27 16:51:49,AB0DA6,,40.69995,-88.32269000000001,19000.0,,,,,,1574873509
2019-11-27 16:51:51,AB0DA6,,40.69826,-88.32037,19000.0,,,,,,1574873511
2019-11-27 16:51:58,AB0DA6,,,,,,332.0,134.27,64.0,GS,1574873518
2019-11-27 16:52:19,AB0DA6,,40.66814,-88.27991,19000.0,,,,,,1574873539
2019-11-27 16:52:20,AB0DA6,,40.66708,-88.2785,19000.0,,,,,,1574873540
