received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:20:54,AC70FC,,41.53228,-86.91425,40000.0,,,,,,1574871654
2019-11-27 16:20:55,AC70FC,,,,,,436.0,271.18,64.0,GS,1574871655
2019-11-27 16:20:58,AC70FC,,41.53244,-86.9257,40000.0,,,,,,1574871658
2019-11-27 16:20:58,AC70FC,,41.53246,-86.92715,40000.0,,,,,,1574871658
2019-11-27 16:21:02,AC70FC,,41.53262,-86.93630999999999,40000.0,,,,,,1574871662
2019-11-27 16:21:03,AC70FC,,41.5327,-86.93999000000001,40000.0,,,,,,1574871663
2019-11-27 16:21:06,AC70FC,,41.532790000000006,-86.94657,40000.0,,,,,,1574871666
2019-11-27 16:21:08,AC70FC,,41.53288,-86.95174,40000.0,,,,,,1574871668
2019-11-27 16:21:08,AC70FC,,,,,,435.0,271.19,0.0,GS,1574871668
2019-11-27 16:21:11,AC70FC,,,,,,435.0,271.05,64.0,GS,1574871671
2019-11-27 16:21:12,AC70FC,,,,,,435.0,271.05,64.0,GS,1574871672
2019-11-27 16:21:12,AC70FC,,41.53302,-86.9626,40000.0,,,,,,1574871672
2019-11-27 16:21:13,AC70FC,,,,,,435.0,271.05,64.0,GS,1574871673
2019-11-27 16:21:15,AC70FC,,41.53317,-86.97283,40000.0,,,,,,1574871675
2019-11-27 16:21:16,AC70FC,,41.53317,-86.9737,40000.0,,,,,,1574871676
2019-11-27 16:21:28,AC70FC,,,,,,434.0,271.06,0.0,GS,1574871688
2019-11-27 16:22:05,AC70FC,,41.53505,-87.1051,40000.0,,,,,,1574871725
2019-11-27 16:22:43,AC70FC,,41.53637,-87.20679,40000.0,,,,,,1574871763
2019-11-27 16:22:44,AC70FC,,41.53642,-87.20781,40000.0,,,,,,1574871764
2019-11-27 16:22:49,AC70FC,,41.536559999999994,-87.22121,40000.0,,,,,,1574871769
2019-11-27 16:22:50,AC70FC,,,,,,427.0,270.94,64.0,GS,1574871770
2019-11-27 16:22:53,AC70FC,,,,,,427.0,270.94,0.0,GS,1574871773
2019-11-27 16:22:53,AC70FC,,41.5367,-87.23201999999999,40000.0,,,,,,1574871773
2019-11-27 16:23:14,AC70FC,,,,,,427.0,270.94,0.0,GS,1574871794
2019-11-27 16:23:16,AC70FC,,41.537440000000004,-87.29186999999999,40000.0,,,,,,1574871796
2019-11-27 16:23:18,AC70FC,,41.537490000000005,-87.29717,40000.0,,,,,,1574871798
2019-11-27 16:23:27,AC70FC,,41.53775,-87.31976999999999,40000.0,,,,,,1574871807
2019-11-27 16:23:29,AC70FC,,41.53784,-87.32502,40000.0,,,,,,1574871809
2019-11-27 16:23:32,AC70FC,,41.53791,-87.33294000000001,40000.0,,,,,,1574871812
