received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:59:24,ACE063,,,,,,,,,,1574873964
2019-11-27 16:59:30,ACE063,JBU288,,,,,545.0,95.47,0.0,GS,1574873970
2019-11-27 16:59:34,ACE063,JBU288,,,,,545.0,95.57,0.0,GS,1574873974
2019-11-27 17:00:40,ACE063,JBU288,,,,,545.0,95.68,0.0,GS,1574874040
2019-11-27 17:00:42,ACE063,JBU288,42.261559999999996,-88.48529,31025.0,,,,,,1574874042
2019-11-27 17:00:47,ACE063,JBU288,42.26028,-88.46809,31025.0,,,,,,1574874047
2019-11-27 17:01:20,ACE063,JBU288,,,,,544.0,95.79,64.0,GS,1574874080
2019-11-27 17:01:47,ACE063,JBU288,,,,,543.0,95.8,-64.0,GS,1574874107
2019-11-27 17:02:05,ACE063,JBU288,,,,,542.0,95.92,-64.0,GS,1574874125
2019-11-27 17:02:24,ACE063,JBU288,,,,,541.0,95.93,-64.0,GS,1574874144
2019-11-27 17:02:35,ACE063,JBU288,,,,,541.0,95.93,0.0,GS,1574874155
2019-11-27 17:02:39,ACE063,JBU288,42.231770000000004,-88.09212,31000.0,,,,,,1574874159
2019-11-27 17:03:14,ACE063,JBU288,,,,,540.0,95.94,0.0,GS,1574874194
2019-11-27 17:04:21,ACE063,JBU288,42.20998,-87.74924,31000.0,,,,,,1574874261
2019-11-27 17:04:47,ACE063,JBU288,,,,,537.0,93.84,0.0,GS,1574874287
2019-11-27 17:05:10,ACE063,JBU288,,,,,535.0,94.18,0.0,GS,1574874310
2019-11-27 17:05:25,ACE063,JBU288,42.19908,-87.536,30975.0,,,,,,1574874325
2019-11-27 17:06:45,ACE063,JBU288,42.18401,-87.27079,30975.0,,,,,,1574874405
2019-11-27 17:06:46,ACE063,JBU288,42.18379,-87.26728,30975.0,,,,,,1574874406
2019-11-27 17:06:47,ACE063,JBU288,,,,,,,,,1574874407
2019-11-27 17:07:31,ACE063,JBU288,42.17532,-87.11884,31025.0,,,,,,1574874451
2019-11-27 17:10:01,ACE063,JBU288,42.15724,-86.62119,31025.0,,,,,,1574874601
