received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:21,AD6ECB,,41.4328,-88.16145,25000.0,,,,,,1574871561
2019-11-27 16:19:29,AD6ECB,,41.4212,-88.14681,25000.0,,,,,,1574871569
2019-11-27 16:19:29,AD6ECB,,,,,,483.0,136.43,0.0,GS,1574871569
2019-11-27 16:19:36,AD6ECB,,41.40919,-88.13149,25000.0,,,,,,1574871576
2019-11-27 16:19:37,AD6ECB,,41.40733,-88.12914,25000.0,,,,,,1574871577
2019-11-27 16:19:45,AD6ECB,,41.39495,-88.11348000000001,25000.0,,,,,,1574871585
2019-11-27 16:19:48,AD6ECB,,41.38939,-88.10642,25000.0,,,,,,1574871588
2019-11-27 16:19:49,AD6ECB,,41.388659999999994,-88.1055,25000.0,,,,,,1574871589
2019-11-27 16:19:49,AD6ECB,,41.38792,-88.10461,25000.0,,,,,,1574871589
2019-11-27 16:19:56,AD6ECB,,41.37657,-88.09026999999999,25025.0,,,,,,1574871596
2019-11-27 16:19:57,AD6ECB,,,,,,483.0,136.43,-64.0,GS,1574871597
2019-11-27 16:20:08,AD6ECB,,,,,,485.0,136.0,-256.0,GS,1574871608
2019-11-27 16:20:10,AD6ECB,,,,,,485.0,136.17,-128.0,GS,1574871610
2019-11-27 16:20:18,AD6ECB,,,,,,485.0,136.34,192.0,GS,1574871618
2019-11-27 16:20:28,AD6ECB,,,,,,486.0,136.33,-128.0,GS,1574871628
2019-11-27 16:20:34,AD6ECB,,,,,,,,,,1574871634
2019-11-27 16:20:37,AD6ECB,DAL960,41.3102,-88.0061,25000.0,,,,,,1574871637
2019-11-27 16:20:41,AD6ECB,DAL960,41.30429,-87.99871999999999,25000.0,,,,,,1574871641
2019-11-27 16:20:51,AD6ECB,DAL960,41.28685,-87.97675,25000.0,,,,,,1574871651
2019-11-27 16:22:02,AD6ECB,DAL960,41.17122,-87.83126,25000.0,,,,,,1574871722
2019-11-27 16:22:04,AD6ECB,DAL960,,,,,,,,,1574871724
2019-11-27 16:22:06,AD6ECB,DAL960,41.165490000000005,-87.82401999999999,25000.0,,,,,,1574871726
2019-11-27 16:23:25,AD6ECB,DAL960,,,,,492.0,136.65,0.0,GS,1574871805
2019-11-27 16:23:43,AD6ECB,DAL960,41.00436,-87.62262,25000.0,,,,,,1574871823
2019-11-27 16:23:44,AD6ECB,DAL960,,,,,494.0,136.56,-128.0,GS,1574871824
2019-11-27 16:24:01,AD6ECB,DAL960,,,,,494.0,136.56,0.0,GS,1574871841
2019-11-27 16:24:22,AD6ECB,DAL960,,,,,497.0,136.55,128.0,GS,1574871862
2019-11-27 16:24:23,AD6ECB,DAL960,,,,,497.0,136.55,128.0,GS,1574871863
2019-11-27 16:24:51,AD6ECB,DAL960,40.88995,-87.48045,25000.0,,,,,,1574871891
2019-11-27 16:25:04,AD6ECB,DAL960,40.86873,-87.45441,25025.0,,,,,,1574871904
2019-11-27 16:25:23,AD6ECB,DAL960,,,,,520.0,136.95,-64.0,GS,1574871923
2019-11-27 16:27:05,AD6ECB,DAL960,40.64052,-87.23063,24400.0,,,,,,1574872025
