received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:40:38,ADD090,,,,,,360.0,150.24,-64.0,GS,1574872838
2019-11-27 16:41:02,ADD090,,,,,,361.0,150.31,-128.0,GS,1574872862
2019-11-27 16:43:12,ADD090,,,,,,368.0,150.37,0.0,GS,1574872992
2019-11-27 16:43:38,ADD090,,,,,,368.0,150.37,64.0,GS,1574873018
2019-11-27 16:43:39,ADD090,,,,,,368.0,150.37,0.0,GS,1574873019
2019-11-27 16:44:10,ADD090,,,,,,,,,,1574873050
2019-11-27 16:44:20,ADD090,N99CV,,,,,,,,,1574873060
2019-11-27 16:44:37,ADD090,N99CV,,,,,363.0,150.47,64.0,GS,1574873077
2019-11-27 16:44:37,ADD090,N99CV,41.91417,-88.18576,27000.0,,,,,,1574873077
2019-11-27 16:44:40,ADD090,N99CV,,,,,,,,,1574873080
2019-11-27 16:44:44,ADD090,N99CV,,,,,363.0,150.47,0.0,GS,1574873084
2019-11-27 16:44:49,ADD090,N99CV,41.89725,-88.17295,27000.0,,,,,,1574873089
2019-11-27 16:44:49,ADD090,N99CV,,,,,363.0,150.47,0.0,GS,1574873089
2019-11-27 16:44:53,ADD090,N99CV,,,,,362.0,150.39,0.0,GS,1574873093
2019-11-27 16:44:54,ADD090,N99CV,41.88963,-88.16716,27000.0,,,,,,1574873094
2019-11-27 16:44:54,ADD090,N99CV,,,,,362.0,150.39,-64.0,GS,1574873094
2019-11-27 16:44:57,ADD090,N99CV,,,,,362.0,150.39,64.0,GS,1574873097
2019-11-27 16:44:57,ADD090,N99CV,41.88482,-88.16349,27000.0,,,,,,1574873097
2019-11-27 16:45:04,ADD090,N99CV,,,,,362.0,150.39,-64.0,GS,1574873104
2019-11-27 16:45:06,ADD090,N99CV,,,,,362.0,150.39,64.0,GS,1574873106
2019-11-27 16:45:07,ADD090,N99CV,,,,,362.0,150.39,64.0,GS,1574873107
2019-11-27 16:45:09,ADD090,N99CV,,,,,362.0,150.39,0.0,GS,1574873109
2019-11-27 16:45:09,ADD090,N99CV,41.86717,-88.15015,27000.0,,,,,,1574873109
2019-11-27 16:45:15,ADD090,N99CV,41.85828,-88.14336999999999,27000.0,,,,,,1574873115
2019-11-27 16:45:23,ADD090,N99CV,41.84793,-88.13551,27000.0,,,,,,1574873123
2019-11-27 16:45:23,ADD090,N99CV,41.8472,-88.13501,27000.0,,,,,,1574873123
2019-11-27 16:45:23,ADD090,N99CV,,,,,362.0,150.61,0.0,GS,1574873123
2019-11-27 16:45:26,ADD090,N99CV,41.84325,-88.132,27000.0,,,,,,1574873126
2019-11-27 16:45:27,ADD090,N99CV,,,,,363.0,150.47,64.0,GS,1574873127
2019-11-27 16:45:30,ADD090,N99CV,,,,,,,,,1574873130
2019-11-27 16:45:39,ADD090,N99CV,41.82351,-88.11706,27000.0,,,,,,1574873139
2019-11-27 16:45:50,ADD090,N99CV,41.80712,-88.10467,27000.0,,,,,,1574873150
2019-11-27 16:45:51,ADD090,N99CV,,,,,364.0,150.55,0.0,GS,1574873151
2019-11-27 16:45:52,ADD090,N99CV,41.80475,-88.10288,27000.0,,,,,,1574873152
2019-11-27 16:45:53,ADD090,N99CV,,,,,364.0,150.55,0.0,GS,1574873153
2019-11-27 16:46:01,ADD090,N99CV,,,,,364.0,150.55,0.0,GS,1574873161
2019-11-27 16:46:05,ADD090,N99CV,,,,,364.0,150.55,64.0,GS,1574873165
2019-11-27 16:46:14,ADD090,N99CV,41.7723,-88.07840999999999,27000.0,,,,,,1574873174
2019-11-27 16:46:15,ADD090,N99CV,41.77171,-88.07795,27000.0,,,,,,1574873175
2019-11-27 16:46:16,ADD090,N99CV,,,,,,,,,1574873176
2019-11-27 16:46:26,ADD090,N99CV,41.75512,-88.06545,27000.0,,,,,,1574873186
2019-11-27 16:46:30,ADD090,N99CV,,,,,365.0,150.49,128.0,GS,1574873190
2019-11-27 16:46:34,ADD090,N99CV,41.743190000000006,-88.05648000000001,27000.0,,,,,,1574873194
2019-11-27 16:46:40,ADD090,N99CV,41.73389,-88.04948,27000.0,,,,,,1574873200
2019-11-27 16:46:44,ADD090,N99CV,41.72818,-88.04512,27000.0,,,,,,1574873204
2019-11-27 16:46:51,ADD090,N99CV,41.71816,-88.0376,27000.0,,,,,,1574873211
2019-11-27 16:46:52,ADD090,N99CV,,,,,365.0,150.49,0.0,GS,1574873212
2019-11-27 16:46:53,ADD090,N99CV,,,,,365.0,150.49,64.0,GS,1574873213
2019-11-27 16:46:57,ADD090,N99CV,41.7095,-88.03101,27000.0,,,,,,1574873217
2019-11-27 16:46:59,ADD090,N99CV,41.706520000000005,-88.02878,27000.0,,,,,,1574873219
2019-11-27 16:46:59,ADD090,N99CV,,,,,365.0,150.49,-128.0,GS,1574873219
2019-11-27 16:47:00,ADD090,N99CV,41.70493,-88.02758,27000.0,,,,,,1574873220
2019-11-27 16:47:09,ADD090,N99CV,,,,,365.0,150.49,64.0,GS,1574873229
2019-11-27 16:47:17,ADD090,N99CV,41.679429999999996,-88.00841,27000.0,,,,,,1574873237
2019-11-27 16:47:18,ADD090,N99CV,41.6787,-88.00785,27000.0,,,,,,1574873238
2019-11-27 16:47:18,ADD090,N99CV,41.67799,-88.00726,27000.0,,,,,,1574873238
2019-11-27 16:47:21,ADD090,N99CV,41.673390000000005,-88.00386,27000.0,,,,,,1574873241
2019-11-27 16:47:25,ADD090,N99CV,41.66766,-87.99949000000001,27000.0,,,,,,1574873245
2019-11-27 16:47:33,ADD090,N99CV,,,,,366.0,150.57,64.0,GS,1574873253
2019-11-27 16:47:46,ADD090,N99CV,,,,,366.0,150.57,64.0,GS,1574873266
2019-11-27 16:47:50,ADD090,N99CV,41.63078,-87.97174,27000.0,,,,,,1574873270
2019-11-27 16:47:51,ADD090,N99CV,,,,,,,,,1574873271
2019-11-27 16:48:27,ADD090,N99CV,,,,,367.0,150.64,0.0,GS,1574873307
2019-11-27 16:48:31,ADD090,N99CV,,,,,367.0,150.64,0.0,GS,1574873311
2019-11-27 16:48:41,ADD090,N99CV,,,,,,,,,1574873321
2019-11-27 16:48:41,ADD090,N99CV,41.55513,-87.91496,27000.0,,,,,,1574873321
2019-11-27 16:48:43,ADD090,N99CV,41.55231,-87.91285,27000.0,,,,,,1574873323
2019-11-27 16:48:44,ADD090,N99CV,41.5516,-87.91228000000001,27000.0,,,,,,1574873324
2019-11-27 16:48:45,ADD090,N99CV,,,,,,,,,1574873325
2019-11-27 16:49:21,ADD090,N99CV,41.49673,-87.87127,27000.0,,,,,,1574873361
2019-11-27 16:49:55,ADD090,N99CV,41.44597,-87.83332,27000.0,,,,,,1574873395
2019-11-27 16:49:55,ADD090,N99CV,,,,,370.0,150.6,64.0,GS,1574873395
2019-11-27 16:49:56,ADD090,N99CV,41.4436,-87.83154,27000.0,,,,,,1574873396
2019-11-27 16:49:59,ADD090,N99CV,,,,,371.0,150.68,0.0,GS,1574873399
2019-11-27 16:49:59,ADD090,N99CV,41.439240000000005,-87.82833000000001,27000.0,,,,,,1574873399
2019-11-27 16:50:01,ADD090,N99CV,41.43685,-87.8265,27000.0,,,,,,1574873401
2019-11-27 16:50:08,ADD090,N99CV,,,,,371.0,150.68,0.0,GS,1574873408
2019-11-27 16:50:39,ADD090,N99CV,,,,,372.0,150.75,128.0,GS,1574873439
2019-11-27 16:50:39,ADD090,N99CV,,,,,372.0,150.75,64.0,GS,1574873439
2019-11-27 16:50:50,ADD090,N99CV,41.363620000000004,-87.77190999999999,27000.0,,,,,,1574873450
2019-11-27 16:51:29,ADD090,N99CV,,,,,374.0,150.77,-64.0,GS,1574873489
2019-11-27 16:51:33,ADD090,N99CV,,,,,374.0,150.77,0.0,GS,1574873493
2019-11-27 16:51:34,ADD090,N99CV,41.29677,-87.72227,27000.0,,,,,,1574873494
2019-11-27 16:51:35,ADD090,N99CV,,,,,374.0,150.77,64.0,GS,1574873495
2019-11-27 16:51:38,ADD090,N99CV,,,,,374.0,150.77,0.0,GS,1574873498
2019-11-27 16:51:38,ADD090,N99CV,,,,,374.0,150.77,0.0,GS,1574873498
2019-11-27 16:51:44,ADD090,N99CV,,,,,376.0,150.71,-64.0,GS,1574873504
2019-11-27 16:51:48,ADD090,N99CV,,,,,376.0,150.71,64.0,GS,1574873508
2019-11-27 16:51:51,ADD090,N99CV,41.27142,-87.70349,27000.0,,,,,,1574873511
2019-11-27 16:51:51,ADD090,N99CV,,,,,376.0,150.71,0.0,GS,1574873511
2019-11-27 16:51:52,ADD090,N99CV,,,,,376.0,150.71,0.0,GS,1574873512
2019-11-27 16:53:50,ADD090,N99CV,,,,,373.0,150.83,64.0,GS,1574873630
2019-11-27 16:54:01,ADD090,N99CV,41.0736,-87.55691999999999,27000.0,,,,,,1574873641
2019-11-27 16:54:15,ADD090,N99CV,41.05211,-87.54114,27000.0,,,,,,1574873655
