received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:24:09,C02E91,,41.80284,-86.61985,34000.0,,,,,,1574871849
2019-11-27 16:24:34,C02E91,,,,,,378.0,230.8,0.0,GS,1574871874
2019-11-27 16:26:15,C02E91,,,,,,368.0,230.73,128.0,GS,1574871975
2019-11-27 16:26:43,C02E91,,41.63452,-86.89455,34000.0,,,,,,1574872003
2019-11-27 16:26:47,C02E91,,,,,,364.0,230.68,0.0,GS,1574872007
2019-11-27 16:27:26,C02E91,,,,,,366.0,230.53,64.0,GS,1574872046
2019-11-27 16:27:28,C02E91,,,,,,366.0,230.53,64.0,GS,1574872048
2019-11-27 16:27:33,C02E91,,41.580090000000006,-86.98285,34000.0,,,,,,1574872053
2019-11-27 16:27:47,C02E91,,,,,,367.0,230.63,64.0,GS,1574872067
2019-11-27 16:27:47,C02E91,,,,,,,,,,1574872067
2019-11-27 16:27:48,C02E91,SKV7663,41.56454,-87.00808,34000.0,,,,,,1574872068
2019-11-27 16:27:49,C02E91,SKV7663,,,,,367.0,230.51,64.0,GS,1574872069
2019-11-27 16:27:54,C02E91,SKV7663,41.557390000000005,-87.01965,34000.0,,,,,,1574872074
2019-11-27 16:27:57,C02E91,SKV7663,41.55458,-87.02417,34000.0,,,,,,1574872077
2019-11-27 16:27:57,C02E91,SKV7663,,,,,,,,,1574872077
2019-11-27 16:28:02,C02E91,SKV7663,,,,,,,,,1574872082
2019-11-27 16:28:05,C02E91,SKV7663,41.54592,-87.03823,34000.0,,,,,,1574872085
2019-11-27 16:28:10,C02E91,SKV7663,41.54061,-87.04672,34000.0,,,,,,1574872090
2019-11-27 16:28:23,C02E91,SKV7663,,,,,369.0,230.49,-64.0,GS,1574872103
2019-11-27 16:28:38,C02E91,SKV7663,41.5097,-87.09661,34000.0,,,,,,1574872118
2019-11-27 16:29:16,C02E91,SKV7663,41.468779999999995,-87.16265,34000.0,,,,,,1574872156
2019-11-27 16:29:17,C02E91,SKV7663,,,,,370.0,230.47,0.0,GS,1574872157
